X,Y,id,Location,fishers,icon_url
57.5686903126553,-20.0147820307775,"1",Pointe Aux Cannoniers,"4",./0.png
57.58391309703,-20.0106034783341,"2",Grand Baie,"62",./0.png
57.5413004411904,-20.0413159940452,"3",Trou Aux Biches,"50",./0.png
57.5190693611107,-20.0654997580739,"4",Pointe Aux Piments,"11",./0.png
57.5060171899181,-20.1105532459014,"5",Baie Du Tombeau,"65",./0.png
57.4985856465793,-20.1353317834071,"6",Roche Bois,"44",./0.png
57.4486906581234,-20.1703357109864,"7",Pointe Aux Sables I,"28",./0.png
57.4587971697964,-20.1665967775221,"8",Pointe Aux Sables II,"11",./0.png
57.4042240105206,-20.2086611630582,"9",Albion,"17",./0.png
57.4800281556949,-20.1602136761265,"10",Bain Des Dames,"70",./0.png
57.4761397325977,-20.1701572014629,"11",GRNW,"11",./0.png
57.3702789063318,-20.2753320235592,"12",Flic En Flac,"0",./0.png
57.3755214831132,-20.3281809755921,"13",Tamarin,"82",./0.png
57.3620009512281,-20.3511748440816,"14",La Preuneuse,"26",./0.png
57.371270087707,-20.3623647868867,"15",Black River,"27",./0.png
57.3774088204095,-20.3916218055808,"16",Petite Riviere Noire,"1",./0.png
57.368681130507,-20.4051928393614,"17",Case Noyale,"19",./0.png
57.3598916475436,-20.4270354780402,"18",La Gaulette,"26",./0.png
57.3425872115438,-20.4671992932212,"19",Le Morne,"39",./0.png
